participant_id,trial_num,option_a,option_b,target,option_a_file,option_b_file,target_file
1,1,241a,626a,73b,241a_Badegoule_MdP_Pr.A.png,626a_Gonn_AP_Monrepos_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png
1,2,353a,73b,420a,353a_Gonn_AP_Monrepos_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png
1,3,167b,431a,420b,167b_GG_MB_2021_MdAM_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png,420b_Gonn_AP_Monrepos_final_nocolor.png
1,4,201a,93b,241a,201a_Peters_Graziosi 1960_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,241a_Badegoule_MdP_Pr.A.png
1,5,151b,631a,73a,151b_PC_DSC00570_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png
1,6,307b,431a,307a,307b_Gonn_AP_Monrepos_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png,307a_Gonn_AP_Monrepos_final_nocolor.png
1,7,70a,73a,202b,70a_Gonn_AP_Monrepos_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png,202b_final_nocolor.png
1,8,418a,552a,93b,418a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,9,241b,484a,167b,241b_Badegoule_MdP_Pr.A.png,484a_Gonn_AP_Monrepos_final_nocolor.png,167b_GG_MB_2021_MdAM_final_nocolor.png
1,10,360a,552a,226b,360a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,226b_Aguas_Santander_final_nocolor.png
1,11,186b,353a,70b,186b_GG_MB_2021_MdAM_final_nocolor.png,353a_Gonn_AP_Monrepos_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png
1,12,420a,73b,70a,420a_Gonn_AP_Monrepos_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png,70a_Gonn_AP_Monrepos_final_nocolor.png
1,13,201a,70b,631a,201a_Peters_Graziosi 1960_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png
1,14,241b,70b,631a,241b_Badegoule_MdP_Pr.A.png,70b_Gonn_AP_Monrepos_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png
1,15,167b,93a,355a,167b_GG_MB_2021_MdAM_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,355a_Gonn_AP_Monrepos_final_nocolor.png
1,16,420b,484a,370a,420b_Gonn_AP_Monrepos_final_nocolor.png,484a_Gonn_AP_Monrepos_final_nocolor.png,370a_Gonn_AP_Monrepos_final_nocolor.png
1,17,144a,353a,626a,144a_L-B_MdP_final_nocolor.png,353a_Gonn_AP_Monrepos_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png
1,18,186b,84a,73a,186b_GG_MB_2021_MdAM_final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png
1,19,370a,93a,626a,370a_Gonn_AP_Monrepos_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png
1,20,167a,484a,226a,167a_GG_MB_2021_MdAM_final_nocolor.png,484a_Gonn_AP_Monrepos_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png
1,21,144a,202b,186b,144a_L-B_MdP_final_nocolor.png,202b_final_nocolor.png,186b_GG_MB_2021_MdAM_final_nocolor.png
1,22,418a,70b,151b,418a_Gonn_AP_Monrepos_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png,151b_PC_DSC00570_final_nocolor.png
1,23,73b,93a,70b,73b_Gonn_AP_Monrepos_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png
1,24,202a,360a,144a,202a_final_nocolor.png,360a_Gonn_AP_Monrepos_final_nocolor.png,144a_L-B_MdP_final_nocolor.png
1,25,144a,555a,307b,144a_L-B_MdP_final_nocolor.png,555a_Gonn_AP_Monrepos_final_nocolor.png,307b_Gonn_AP_Monrepos_final_nocolor.png
1,26,420a,84a,73b,420a_Gonn_AP_Monrepos_final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png
1,27,144b,626a,93a,144b_L-B_MdP_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,28,201a,631a,186b,201a_Peters_Graziosi 1960_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png,186b_GG_MB_2021_MdAM_final_nocolor.png
1,29,241b,84a,167a,241b_Badegoule_MdP_Pr.A.png,84a_Gonn_AP_Monrepos_final_nocolor.png,167a_GG_MB_2021_MdAM_final_nocolor.png
1,30,202b,307a,241b,202b_final_nocolor.png,307a_Gonn_AP_Monrepos_final_nocolor.png,241b_Badegoule_MdP_Pr.A.png
1,31,144b,307b,226a,144b_L-B_MdP_final_nocolor.png,307b_Gonn_AP_Monrepos_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png
1,32,202b,73b,202a,202b_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png,202a_final_nocolor.png
1,33,167a,201a,355a,167a_GG_MB_2021_MdAM_final_nocolor.png,201a_Peters_Graziosi 1960_final_nocolor.png,355a_Gonn_AP_Monrepos_final_nocolor.png
1,34,151a,241b,144a,151a MdA_final_nocolor.png,241b_Badegoule_MdP_Pr.A.png,144a_L-B_MdP_final_nocolor.png
1,35,70b,84a,226b,70b_Gonn_AP_Monrepos_final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png,226b_Aguas_Santander_final_nocolor.png
1,36,144b,420a,186a,144b_L-B_MdP_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png,186a_GG_MB_2021_MdAM_final_nocolor.png
1,37,144a,151b,226a,144a_L-B_MdP_final_nocolor.png,151b_PC_DSC00570_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png
1,38,144b,186a,552a,144b_L-B_MdP_final_nocolor.png,186a_GG_MB_2021_MdAM_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png
1,39,151a,307b,151b,151a MdA_final_nocolor.png,307b_Gonn_AP_Monrepos_final_nocolor.png,151b_PC_DSC00570_final_nocolor.png
1,40,241b,420b,167a,241b_Badegoule_MdP_Pr.A.png,420b_Gonn_AP_Monrepos_final_nocolor.png,167a_GG_MB_2021_MdAM_final_nocolor.png
1,41,70b,93b,431a,70b_Gonn_AP_Monrepos_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png
1,42,186a,226b,241b,186a_GG_MB_2021_MdAM_final_nocolor.png,226b_Aguas_Santander_final_nocolor.png,241b_Badegoule_MdP_Pr.A.png
1,43,626a,93b,201a,626a_Gonn_AP_Monrepos_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,201a_Peters_Graziosi 1960_final_nocolor.png
1,44,201a,73b,353a,201a_Peters_Graziosi 1960_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png,353a_Gonn_AP_Monrepos_final_nocolor.png
1,45,167a,420b,626a,167a_GG_MB_2021_MdAM_final_nocolor.png,420b_Gonn_AP_Monrepos_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png
1,46,151a,167b,70a,151a MdA_final_nocolor.png,167b_GG_MB_2021_MdAM_final_nocolor.png,70a_Gonn_AP_Monrepos_final_nocolor.png
1,47,226a,93b,70a,226a_Aguas_Sant_Final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,70a_Gonn_AP_Monrepos_final_nocolor.png
1,48,226a,241b,93a,226a_Aguas_Sant_Final_nocolor.png,241b_Badegoule_MdP_Pr.A.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,49,202a,73b,552a,202a_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png
1,50,420a,484a,226a,420a_Gonn_AP_Monrepos_final_nocolor.png,484a_Gonn_AP_Monrepos_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png
1,51,360a,631a,186a,360a_Gonn_AP_Monrepos_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png,186a_GG_MB_2021_MdAM_final_nocolor.png
1,52,151a,186a,73a,151a MdA_final_nocolor.png,186a_GG_MB_2021_MdAM_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png
1,53,167a,307b,144b,167a_GG_MB_2021_MdAM_final_nocolor.png,307b_Gonn_AP_Monrepos_final_nocolor.png,144b_L-B_MdP_final_nocolor.png
1,54,420b,73b,93b,420b_Gonn_AP_Monrepos_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,55,144a,167b,307a,144a_L-B_MdP_final_nocolor.png,167b_GG_MB_2021_MdAM_final_nocolor.png,307a_Gonn_AP_Monrepos_final_nocolor.png
1,56,186b,73a,626a,186b_GG_MB_2021_MdAM_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png
