participant_id,trial_num,option_a,option_b,target,option_a_file,option_b_file,target_file
1,1,167a,241a,226a,167a_GG_MB_2021_MdAM_final_nocolor.png,241a_Badegoule_MdP_Pr.A.png,226a_Aguas_Sant_Final_nocolor.png
1,2,241a,353a,226b,241a_Badegoule_MdP_Pr.A.png,353a_Gonn_AP_Monrepos_final_nocolor.png,226b_Aguas_Santander_final_nocolor.png
1,3,167a,420a,431a,167a_GG_MB_2021_MdAM_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png
1,4,144b,202a,93a,144b_L-B_MdP_final_nocolor.png,202a_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,5,307b,370a,355a,307b_Gonn_AP_Monrepos_final_nocolor.png,370a_Gonn_AP_Monrepos_final_nocolor.png,355a_Gonn_AP_Monrepos_final_nocolor.png
1,6,360a,70b,420b,360a_Gonn_AP_Monrepos_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png,420b_Gonn_AP_Monrepos_final_nocolor.png
1,7,186a,93b,186b,186a_GG_MB_2021_MdAM_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,186b_GG_MB_2021_MdAM_final_nocolor.png
1,8,555a,93a,144a,555a_Gonn_AP_Monrepos_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,144a_L-B_MdP_final_nocolor.png
1,9,226b,307a,631a,226b_Aguas_Santander_final_nocolor.png,307a_Gonn_AP_Monrepos_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png
1,10,202a,241b,552a,202a_final_nocolor.png,241b_Badegoule_MdP_Pr.A.png,552a_Gonn_AP_Monrepos_final_nocolor.png
1,11,420a,93b,73a,420a_Gonn_AP_Monrepos_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png
1,12,307a,307b,431a,307a_Gonn_AP_Monrepos_final_nocolor.png,307b_Gonn_AP_Monrepos_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png
1,13,84a,93a,555a,84a_Gonn_AP_Monrepos_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,555a_Gonn_AP_Monrepos_final_nocolor.png
1,14,202a,420b,186a,202a_final_nocolor.png,420b_Gonn_AP_Monrepos_final_nocolor.png,186a_GG_MB_2021_MdAM_final_nocolor.png
1,15,626a,84a,355a,626a_Gonn_AP_Monrepos_final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png,355a_Gonn_AP_Monrepos_final_nocolor.png
1,16,167a,420b,431a,167a_GG_MB_2021_MdAM_final_nocolor.png,420b_Gonn_AP_Monrepos_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png
1,17,186b,93a,144a,186b_GG_MB_2021_MdAM_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,144a_L-B_MdP_final_nocolor.png
1,18,151a,186b,226a,151a MdA_final_nocolor.png,186b_GG_MB_2021_MdAM_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png
1,19,73a,93b,144a,73a_Gonn_AP_Monrepos_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,144a_L-B_MdP_final_nocolor.png
1,20,186a,370a,151b,186a_GG_MB_2021_MdAM_final_nocolor.png,370a_Gonn_AP_Monrepos_final_nocolor.png,151b_PC_DSC00570_final_nocolor.png
1,21,167a,484a,370a,167a_GG_MB_2021_MdAM_final_nocolor.png,484a_Gonn_AP_Monrepos_final_nocolor.png,370a_Gonn_AP_Monrepos_final_nocolor.png
1,22,151b,355a,93a,151b_PC_DSC00570_final_nocolor.png,355a_Gonn_AP_Monrepos_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,23,226b,420a,307b,226b_Aguas_Santander_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png,307b_Gonn_AP_Monrepos_final_nocolor.png
1,24,241b,420a,73a,241b_Badegoule_MdP_Pr.A.png,420a_Gonn_AP_Monrepos_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png
1,25,202a,202b,552a,202a_final_nocolor.png,202b_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png
1,26,186b,226a,420a,186b_GG_MB_2021_MdAM_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png
1,27,484a,555a,307a,484a_Gonn_AP_Monrepos_final_nocolor.png,555a_Gonn_AP_Monrepos_final_nocolor.png,307a_Gonn_AP_Monrepos_final_nocolor.png
1,28,144a,226a,167a,144a_L-B_MdP_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png,167a_GG_MB_2021_MdAM_final_nocolor.png
1,29,144b,73b,151b,144b_L-B_MdP_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png,151b_PC_DSC00570_final_nocolor.png
1,30,144b,307b,73b,144b_L-B_MdP_final_nocolor.png,307b_Gonn_AP_Monrepos_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png
1,31,360a,420a,202b,360a_Gonn_AP_Monrepos_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png,202b_final_nocolor.png
1,32,151b,226a,626a,151b_PC_DSC00570_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png
1,33,626a,73a,241b,626a_Gonn_AP_Monrepos_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png,241b_Badegoule_MdP_Pr.A.png
1,34,355a,93b,167a,355a_Gonn_AP_Monrepos_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,167a_GG_MB_2021_MdAM_final_nocolor.png
1,35,144b,626a,226a,144b_L-B_MdP_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png
1,36,241b,73b,144a,241b_Badegoule_MdP_Pr.A.png,73b_Gonn_AP_Monrepos_final_nocolor.png,144a_L-B_MdP_final_nocolor.png
1,37,186a,84a,420b,186a_GG_MB_2021_MdAM_final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png,420b_Gonn_AP_Monrepos_final_nocolor.png
1,38,484a,552a,202a,484a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,202a_final_nocolor.png
1,39,186b,370a,70b,186b_GG_MB_2021_MdAM_final_nocolor.png,370a_Gonn_AP_Monrepos_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png
1,40,151b,93b,70a,151b_PC_DSC00570_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,70a_Gonn_AP_Monrepos_final_nocolor.png
1,41,202b,84a,73a,202b_final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png
1,42,186a,420a,226a,186a_GG_MB_2021_MdAM_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png
1,43,226a,84a,241b,226a_Aguas_Sant_Final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png,241b_Badegoule_MdP_Pr.A.png
1,44,241b,73b,84a,241b_Badegoule_MdP_Pr.A.png,73b_Gonn_AP_Monrepos_final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png
1,45,307b,420b,202b,307b_Gonn_AP_Monrepos_final_nocolor.png,420b_Gonn_AP_Monrepos_final_nocolor.png,202b_final_nocolor.png
1,46,167a,360a,431a,167a_GG_MB_2021_MdAM_final_nocolor.png,360a_Gonn_AP_Monrepos_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png
1,47,201a,202b,73a,201a_Peters_Graziosi 1960_final_nocolor.png,202b_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png
1,48,186a,552a,167b,186a_GG_MB_2021_MdAM_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,167b_GG_MB_2021_MdAM_final_nocolor.png
1,49,144a,93b,73a,144a_L-B_MdP_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png
1,50,355a,431a,84a,355a_Gonn_AP_Monrepos_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png
