participant_id,trial_num,option_a,option_b,target,option_a_file,option_b_file,target_file
1,1,226b,484a,186b,226b_Aguas_Santander_final_nocolor.png,484a_Gonn_AP_Monrepos_final_nocolor.png,186b_GG_MB_2021_MdAM_final_nocolor.png
1,2,420b,552a,167a,420b_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,167a_GG_MB_2021_MdAM_final_nocolor.png
1,3,355a,420a,626a,355a_Gonn_AP_Monrepos_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png
1,4,167a,186b,186a,167a_GG_MB_2021_MdAM_final_nocolor.png,186b_GG_MB_2021_MdAM_final_nocolor.png,186a_GG_MB_2021_MdAM_final_nocolor.png
1,5,202b,626a,202a,202b_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png,202a_final_nocolor.png
1,6,307b,420a,241a,307b_Gonn_AP_Monrepos_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png,241a_Badegoule_MdP_Pr.A.png
1,7,241b,73b,201a,241b_Badegoule_MdP_Pr.A.png,73b_Gonn_AP_Monrepos_final_nocolor.png,201a_Peters_Graziosi 1960_final_nocolor.png
1,8,144a,360a,626a,144a_L-B_MdP_final_nocolor.png,360a_Gonn_AP_Monrepos_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png
1,9,360a,631a,484a,360a_Gonn_AP_Monrepos_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png,484a_Gonn_AP_Monrepos_final_nocolor.png
1,10,144a,202a,201a,144a_L-B_MdP_final_nocolor.png,202a_final_nocolor.png,201a_Peters_Graziosi 1960_final_nocolor.png
1,11,151a,70a,167b,151a MdA_final_nocolor.png,70a_Gonn_AP_Monrepos_final_nocolor.png,167b_GG_MB_2021_MdAM_final_nocolor.png
1,12,370a,70a,226b,370a_Gonn_AP_Monrepos_final_nocolor.png,70a_Gonn_AP_Monrepos_final_nocolor.png,226b_Aguas_Santander_final_nocolor.png
1,13,226a,70a,431a,226a_Aguas_Sant_Final_nocolor.png,70a_Gonn_AP_Monrepos_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png
1,14,484a,631a,73a,484a_Gonn_AP_Monrepos_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png
1,15,151a,418a,241a,151a MdA_final_nocolor.png,418a_Gonn_AP_Monrepos_final_nocolor.png,241a_Badegoule_MdP_Pr.A.png
1,16,418a,555a,552a,418a_Gonn_AP_Monrepos_final_nocolor.png,555a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png
1,17,353a,552a,418a,353a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,418a_Gonn_AP_Monrepos_final_nocolor.png
1,18,73a,93b,555a,73a_Gonn_AP_Monrepos_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,555a_Gonn_AP_Monrepos_final_nocolor.png
1,19,151b,167a,420b,151b_PC_DSC00570_final_nocolor.png,167a_GG_MB_2021_MdAM_final_nocolor.png,420b_Gonn_AP_Monrepos_final_nocolor.png
1,20,201a,307a,552a,201a_Peters_Graziosi 1960_final_nocolor.png,307a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png
1,21,202a,307a,201a,202a_final_nocolor.png,307a_Gonn_AP_Monrepos_final_nocolor.png,201a_Peters_Graziosi 1960_final_nocolor.png
1,22,353a,552a,631a,353a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png
1,23,186a,420b,186b,186a_GG_MB_2021_MdAM_final_nocolor.png,420b_Gonn_AP_Monrepos_final_nocolor.png,186b_GG_MB_2021_MdAM_final_nocolor.png
1,24,144b,70b,484a,144b_L-B_MdP_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png,484a_Gonn_AP_Monrepos_final_nocolor.png
1,25,201a,552a,151b,201a_Peters_Graziosi 1960_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,151b_PC_DSC00570_final_nocolor.png
1,26,151a,201a,202a,151a MdA_final_nocolor.png,201a_Peters_Graziosi 1960_final_nocolor.png,202a_final_nocolor.png
1,27,144b,186b,420b,144b_L-B_MdP_final_nocolor.png,186b_GG_MB_2021_MdAM_final_nocolor.png,420b_Gonn_AP_Monrepos_final_nocolor.png
1,28,226b,420b,626a,226b_Aguas_Santander_final_nocolor.png,420b_Gonn_AP_Monrepos_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png
1,29,418a,420a,226a,418a_Gonn_AP_Monrepos_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png
1,30,167a,186b,201a,167a_GG_MB_2021_MdAM_final_nocolor.png,186b_GG_MB_2021_MdAM_final_nocolor.png,201a_Peters_Graziosi 1960_final_nocolor.png
1,31,418a,73b,151b,418a_Gonn_AP_Monrepos_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png,151b_PC_DSC00570_final_nocolor.png
1,32,360a,484a,555a,360a_Gonn_AP_Monrepos_final_nocolor.png,484a_Gonn_AP_Monrepos_final_nocolor.png,555a_Gonn_AP_Monrepos_final_nocolor.png
1,33,151b,167a,555a,151b_PC_DSC00570_final_nocolor.png,167a_GG_MB_2021_MdAM_final_nocolor.png,555a_Gonn_AP_Monrepos_final_nocolor.png
1,34,151a,151b,93a,151a MdA_final_nocolor.png,151b_PC_DSC00570_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,35,355a,552a,73a,355a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png
1,36,201a,420b,144b,201a_Peters_Graziosi 1960_final_nocolor.png,420b_Gonn_AP_Monrepos_final_nocolor.png,144b_L-B_MdP_final_nocolor.png
1,37,241b,555a,360a,241b_Badegoule_MdP_Pr.A.png,555a_Gonn_AP_Monrepos_final_nocolor.png,360a_Gonn_AP_Monrepos_final_nocolor.png
1,38,431a,73b,73a,431a_Gonn_AP_Monrepos_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png
1,39,151b,353a,151a,151b_PC_DSC00570_final_nocolor.png,353a_Gonn_AP_Monrepos_final_nocolor.png,151a MdA_final_nocolor.png
1,40,144b,151b,626a,144b_L-B_MdP_final_nocolor.png,151b_PC_DSC00570_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png
1,41,151a,241a,307a,151a MdA_final_nocolor.png,241a_Badegoule_MdP_Pr.A.png,307a_Gonn_AP_Monrepos_final_nocolor.png
1,42,226b,353a,631a,226b_Aguas_Santander_final_nocolor.png,353a_Gonn_AP_Monrepos_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png
1,43,151b,93b,431a,151b_PC_DSC00570_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png
1,44,370a,93b,151a,370a_Gonn_AP_Monrepos_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,151a MdA_final_nocolor.png
1,45,355a,420a,70a,355a_Gonn_AP_Monrepos_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png,70a_Gonn_AP_Monrepos_final_nocolor.png
1,46,151b,552a,226a,151b_PC_DSC00570_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png
1,47,307b,93b,84a,307b_Gonn_AP_Monrepos_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png
1,48,353a,431a,93a,353a_Gonn_AP_Monrepos_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,49,484a,552a,93b,484a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,50,151a,226a,552a,151a MdA_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png
1,51,151a,93a,631a,151a MdA_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png
1,52,186b,202a,226a,186b_GG_MB_2021_MdAM_final_nocolor.png,202a_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png
1,53,226b,420a,355a,226b_Aguas_Santander_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png,355a_Gonn_AP_Monrepos_final_nocolor.png
1,54,202a,226a,151a,202a_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png,151a MdA_final_nocolor.png
1,55,70a,73b,226a,70a_Gonn_AP_Monrepos_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png
1,56,241a,84a,420b,241a_Badegoule_MdP_Pr.A.png,84a_Gonn_AP_Monrepos_final_nocolor.png,420b_Gonn_AP_Monrepos_final_nocolor.png
1,57,186b,226b,418a,186b_GG_MB_2021_MdAM_final_nocolor.png,226b_Aguas_Santander_final_nocolor.png,418a_Gonn_AP_Monrepos_final_nocolor.png
1,58,151a,202a,420a,151a MdA_final_nocolor.png,202a_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png
1,59,202a,307a,626a,202a_final_nocolor.png,307a_Gonn_AP_Monrepos_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png
1,60,151a,186b,307a,151a MdA_final_nocolor.png,186b_GG_MB_2021_MdAM_final_nocolor.png,307a_Gonn_AP_Monrepos_final_nocolor.png
