participant_id,trial_num,option_a,option_b,target,option_a_file,option_b_file,target_file
1,1,555a,70a,552a,555a_Gonn_AP_Monrepos_final_nocolor.png,70a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png
1,2,226b,355a,202a,226b_Aguas_Santander_final_nocolor.png,355a_Gonn_AP_Monrepos_final_nocolor.png,202a_final_nocolor.png
1,3,202b,418a,226a,202b_final_nocolor.png,418a_Gonn_AP_Monrepos_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png
1,4,167a,555a,201a,167a_GG_MB_2021_MdAM_final_nocolor.png,555a_Gonn_AP_Monrepos_final_nocolor.png,201a_Peters_Graziosi 1960_final_nocolor.png
1,5,420a,552a,355a,420a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,355a_Gonn_AP_Monrepos_final_nocolor.png
1,6,151a,370a,93b,151a MdA_final_nocolor.png,370a_Gonn_AP_Monrepos_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,7,167a,73a,144b,167a_GG_MB_2021_MdAM_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png,144b_L-B_MdP_final_nocolor.png
1,8,355a,420b,353a,355a_Gonn_AP_Monrepos_final_nocolor.png,420b_Gonn_AP_Monrepos_final_nocolor.png,353a_Gonn_AP_Monrepos_final_nocolor.png
1,9,241a,552a,626a,241a_Badegoule_MdP_Pr.A.png,552a_Gonn_AP_Monrepos_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png
1,10,226b,73a,167b,226b_Aguas_Santander_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png,167b_GG_MB_2021_MdAM_final_nocolor.png
1,11,355a,631a,144a,355a_Gonn_AP_Monrepos_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png,144a_L-B_MdP_final_nocolor.png
1,12,202a,226a,151a,202a_final_nocolor.png,226a_Aguas_Sant_Final_nocolor.png,151a MdA_final_nocolor.png
1,13,151b,353a,70b,151b_PC_DSC00570_final_nocolor.png,353a_Gonn_AP_Monrepos_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png
1,14,144a,484a,93a,144a_L-B_MdP_final_nocolor.png,484a_Gonn_AP_Monrepos_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,15,226a,418a,226b,226a_Aguas_Sant_Final_nocolor.png,418a_Gonn_AP_Monrepos_final_nocolor.png,226b_Aguas_Santander_final_nocolor.png
1,16,353a,355a,73a,353a_Gonn_AP_Monrepos_final_nocolor.png,355a_Gonn_AP_Monrepos_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png
1,17,151a,631a,144a,151a MdA_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png,144a_L-B_MdP_final_nocolor.png
1,18,201a,370a,93a,201a_Peters_Graziosi 1960_final_nocolor.png,370a_Gonn_AP_Monrepos_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,19,355a,626a,70b,355a_Gonn_AP_Monrepos_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png
1,20,186b,555a,353a,186b_GG_MB_2021_MdAM_final_nocolor.png,555a_Gonn_AP_Monrepos_final_nocolor.png,353a_Gonn_AP_Monrepos_final_nocolor.png
1,21,226b,73a,201a,226b_Aguas_Santander_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png,201a_Peters_Graziosi 1960_final_nocolor.png
1,22,307a,631a,70b,307a_Gonn_AP_Monrepos_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png
